id,registry,source,label,contrast,hr,lo,hi,t,hr2,lo2,hi2,MoCPE,CoCPE,CoXLPE,CoC,MoM,adjusted
1,NJR,Whitehouse,CoCr head + non-HCLPE cup (monobloc),MoCPE vs MoXLPE,1.28,1.10,1.48,10,1.31,1.15,1.48,1,0,0,0,0,yes
2,NJR,Whitehouse,Stainless steel head + non-HCLPE cup (monobloc),MoCPE vs MoXLPE,1.18,1.02,1.36,10,1.19,1.05,1.36,1,0,0,0,0,yes
3,NJR,Whitehouse,CoCr head + non-HCLPE liner (modular),MoCPE vs MoXLPE,1.44,1.33,1.55,10,1.35,1.26,1.45,1,0,0,0,0,yes
4,NJR,Whitehouse,Stainless steel head + non-HCLPE liner (modular),MoCPE vs MoXLPE,1.62,1.44,1.82,10,1.48,1.34,1.64,1,0,0,0,0,yes
5,NJR,Whitehouse,Delta ceramic head + non-HCLPE cup (monobloc),CoCPE vs MoXLPE,0.86,0.71,1.05,10,0.87,0.74,1.03,0,1,0,0,0,yes
6,NJR,Whitehouse,Alumina head + non-HCLPE cup (monobloc),CoCPE vs MoXLPE,0.92,0.76,1.13,10,0.87,0.73,1.03,0,1,0,0,0,yes
7,NJR,Whitehouse,Alumina head + non-HCLPE liner (modular),CoCPE vs MoXLPE,1.60,1.32,1.93,10,1.42,1.21,1.68,0,1,0,0,0,yes
8,NJR,Whitehouse,Delta ceramic head + non-HCLPE liner (modular),CoCPE vs MoXLPE,0.87,0.77,0.99,10,0.84,0.75,0.94,0,1,0,0,0,yes
9,NJR,Whitehouse,Delta ceramic head + HCLPE cup (monobloc),CoXLPE vs MoXLPE,0.61,0.50,0.75,10,0.65,0.54,0.77,0,0,1,0,0,yes
10,NJR,Whitehouse,Alumina head + HCLPE cup (monobloc),CoXLPE vs MoXLPE,0.75,0.55,1.03,10,0.67,0.52,0.85,0,0,1,0,0,yes
11,NJR,Whitehouse,Alumina head + HCLPE liner (modular),CoXLPE vs MoXLPE,0.94,0.82,1.08,10,0.92,0.82,1.03,0,0,1,0,0,yes
12,NJR,Whitehouse,Delta ceramic head + HCLPE liner (modular),CoXLPE vs MoXLPE,0.79,0.73,0.85,10,0.79,0.73,0.84,0,0,1,0,0,yes
13,NJR,Whitehouse,Alumina head + alumina liner (modular),CoC vs MoXLPE,1.24,1.13,1.36,10,1.14,1.05,1.24,0,0,0,1,0,yes
14,NJR,Whitehouse,Delta ceramic head + delta ceramic liner (modular),CoC vs MoXLPE,0.96,0.90,1.03,10,0.93,0.88,0.99,0,0,0,1,0,yes
15,NARA,Mikkelsen,MoM 0-2 years,MoM vs MoXLPE,1.3,0.8,2.4,1,,,,0,0,0,0,1,yes
16,NARA,Mikkelsen,MoM 2-7 years,MoM vs MoXLPE,3.6,2.3,5.7,4.5,,,,0,0,0,0,1,yes
17,NARA,Mikkelsen,MoM 7-13 years,MoM vs MoXLPE,4.1,1.7,10,10,,,,0,0,0,0,1,yes
18,NARA,Mikkelsen,CoC 0-2 years,CoC vs MoXLPE,1.0,0.8,1.3,1,,,,0,0,0,1,0,yes
19,NARA,Mikkelsen,CoC 2-7 years,CoC vs MoXLPE,0.8,0.6,1.1,4.5,,,,0,0,0,1,0,yes
20,NARA,Mikkelsen,CoC 7-13 years,CoC vs MoXLPE,2.1,1.0,4.5,10,,,,0,0,0,1,0,yes
21,NARA,Mikkelsen,CoXLPE 0-2 years,CoXLPE vs MoXLPE,1.2,1.0,1.5,1,,,,0,0,1,0,0,yes
22,NARA,Mikkelsen,CoXLPE 2-7 years,CoXLPE vs MoXLPE,1.2,0.9,1.6,4.5,,,,0,0,1,0,0,yes
23,NARA,Mikkelsen,CoXLPE 7-13 years,CoXLPE vs MoXLPE,2.1,1.0,4.6,10,,,,0,0,1,0,0,yes
24,LROI,Peters,MoHXLPE vs MoPE,MoXLPE vs MoCPE,0.98,0.88,1.09,3.9,,,,-1,0,0,0,0,yes
25,LROI,Peters,CoPE vs MoPE,CoCPE vs MoCPE,0.99,0.90,1.08,3.9,,,,-1,1,0,0,0,yes
26,LROI,Peters,CoHXLPE vs MoPE,CoXLPE vs MoCPE,0.87,0.79,0.96,3.9,,,,-1,0,1,0,0,yes
27,LROI,Peters,CoC vs MoPE,CoC vs MoCPE,0.82,0.71,0.94,3.9,,,,-1,0,0,1,0,yes
28,EPRD,Elliott,Ceramic/ceramic vs ceramic/PE,CoC vs CoXLPE,0.99,0.52,1.9,3.7,,,,0,0,-1,1,0,no
29,EPRD,Elliott,Metal/PE vs ceramic/PE,MoXLPE vs CoXLPE,2.2,0.68,7.3,3.7,,,,0,0,-1,0,0,no
